plot_id,harvested,vegetation_type,milpa,artisan,latitude,longitude,plots_per_ha,ba_totaltrees,ba_seedlings,ba_saplings,ba_trees05to09,ba_trees10to14,ba_trees15plus,stemden_seedlings,stemden_totaltrees,stemden_saplings,stemden_trees05to09,stemden_trees10to14,stemden_trees15plus,stemden_totaltrees_count,stemden_seedlings_count,stemden_saplings_count,stemden_trees05to09_count,stemden_trees10to14_count,stemden_trees15plus_count
1,yes,keelenche,yes,Emilio,-0.8887277476053861,-1.075994916544756,0.031415926535897934,2.7874999999999996,0,0.035,0.2825,1.7825,0.7224999999999999,5500,254.64790894703253,95.4929658551372,63.66197723675813,159.15494309189535,31.830988618379067,8,11,3,2,5.000000000000001,1
2,yes,keelenche,yes,Emilio,-0.942736523789282,-1.0571116778410192,0.031415926535897934,10.165000000000001,0,0.10250000000000001,1.82,1.97,6.374999999999999,5500,859.4366926962348,95.4929658551372,445.6338406573069,159.15494309189535,254.64790894703253,27,11,3,14,5.000000000000001,8
3,no,keelenche,yes,Emilio,-0.947237255137892,-1.1062080984715075,0.031415926535897934,13.4875,0,0.24500000000000002,2.8400000000000003,5.59,5.0575,6000,1496.0564650638162,222.81692032865345,732.1127382227186,509.29581789406507,254.64790894703253,47,12,7,23.000000000000004,16,8
4,no,keelenche,yes,Emilio,-1.001246031321788,-1.1250913371771762,0.031415926535897934,9.11,0,0.07250000000000001,0.745,3.0549999999999997,5.31,2000,604.7887837492023,95.4929658551372,159.15494309189535,254.64790894703253,190.9859317102744,19,4,3,5.000000000000001,8,6
5,yes,juuche,yes,Candelaria,0.1284375371902636,-0.3471019025546298,0.031415926535897934,7.76,0,0.16,1.46,4.364999999999999,1.935,9500,827.6057040778556,127.32395447351627,381.9718634205488,350.1408748021697,95.4929658551372,25.999999999999996,19,4,12,11,3
6,no,juuche,yes,Candelaria,0.15544192528192372,-0.4490713915598314,0.031415926535897934,7.4675,0,0.1625,1.0675,4.5525,1.8475,20500,827.6057040778556,286.4788975654116,350.1408748021697,381.9718634205488,95.4929658551372,25.999999999999996,41,9,11,12,3
7,no,nukuuchche,no,Alejandro and Wilma,-0.015585865966983853,1.0880242389795929,0.031415926535897934,3.8675000000000006,0,0.13499999999999998,1.8225,2.045,0,5500,636.6197723675813,159.15494309189535,445.6338406573069,190.9859317102744,0,20,11,5.000000000000001,14,6,0
8,no,nukuuchche,no,Alejandro and Wilma,0.10593388044663789,1.2541967395767262,0.031415926535897934,2.4975,0,0.05500000000000001,0.3025,1.6325,0.5625,4000,254.64790894703253,159.15494309189535,95.4929658551372,127.32395447351627,31.830988618379067,8,8,5.000000000000001,3,4,1
9,yes,nukuuchche,no,Alejandro and Wilma,0.08793095505219782,1.4921255472523096,0.031415926535897934,4.53,0,0.08,1.42,1.2675,1.8425000000000002,3000,509.29581789406507,63.66197723675813,318.3098861837907,95.4929658551372,95.4929658551372,16,6,2,10.000000000000002,3,3
10,yes,nukuuchche,no,Alejandro and Wilma,0.029421447519691956,1.5374453201443692,0.031415926535897934,4.84,0,0.0425,0.895,1.9399999999999997,2.005,2500,509.29581789406507,159.15494309189535,254.64790894703253,190.9859317102744,63.66197723675813,16,5,5.000000000000001,8,6,2
11,yes,nukuuchche,no,Esteban and Bety,0.2904638657413755,0.8878619087114827,0.031415926535897934,3.2225,0,0.11499999999999999,0.4975,2.085,0.64,2000,413.8028520389279,222.81692032865345,159.15494309189535,222.81692032865345,31.830988618379067,13.000000000000002,4,7,5.000000000000001,7,1
12,no,nukuuchche,no,Esteban and Bety,0.14193973123609366,0.808552306154243,0.031415926535897934,3.1,0,0.053125000000000006,0.46749999999999997,2.07,0.5625,3000,350.1408748021698,350.1408748021697,127.32395447351627,190.9859317102744,31.830988618379067,11.000000000000002,6,11,4,6,1
13,yes,nukuuchche,no,Esteban and Bety,0.5155004331741789,0.4497707707697213,0.031415926535897934,4.1725,0,0.3449999999999999,2.1075,1.5025,0.5625,3500,604.7887837492021,477.464829275686,445.6338406573069,127.32395447351627,31.830988618379067,18.999999999999996,7,15,14,4,1
14,no,nukuuchche,no,Esteban and Bety,0.3354711792280513,0.49131389591948765,0.031415926535897934,5.3225,0,0.018125000000000002,0.9925,2.6075,1.7225,2000,541.1268065124441,159.15494309189535,254.64790894703253,222.81692032865345,63.66197723675813,17,4,5.000000000000001,8,7,2
15,yes,juuche,yes,Silverio,1.0870933144528319,0.23450184954016748,0.031415926535897934,5.8225,0,0.14500000000000002,1.47,3.7900000000000005,0.5625,6000,668.4507609859604,318.3098861837907,318.3098861837907,318.3098861837907,31.830988618379067,21,12,10.000000000000002,10.000000000000002,10.000000000000002,1
