plot_id,dbh,ba_per_stem,size_class,harvested,vegetation_type,milpa,artisan
1,14,0.49,tree_10to14,yes,keelenche,yes,Emilio
1,10,0.25,tree_10to14,yes,keelenche,yes,Emilio
1,11,0.3025,tree_10to14,yes,keelenche,yes,Emilio
1,8,0.16,tree_05to09,yes,keelenche,yes,Emilio
1,14,0.49,tree_10to14,yes,keelenche,yes,Emilio
1,10,0.25,tree_10to14,yes,keelenche,yes,Emilio
1,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
1,17,0.7224999999999999,tree_15plus,yes,keelenche,yes,Emilio
1,3,0.0225,sapling,yes,keelenche,yes,Emilio
1,2,0.01,sapling,yes,keelenche,yes,Emilio
1,1,0.0025,sapling,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,10,0.25,tree_10to14,yes,keelenche,yes,Emilio
2,6,0.09,tree_05to09,yes,keelenche,yes,Emilio
2,4,0.04,sapling,yes,keelenche,yes,Emilio
2,21,1.1024999999999998,tree_15plus,yes,keelenche,yes,Emilio
2,8,0.16,tree_05to09,yes,keelenche,yes,Emilio
2,16,0.64,tree_15plus,yes,keelenche,yes,Emilio
2,5,0.0625,tree_05to09,yes,keelenche,yes,Emilio
2,14,0.49,tree_10to14,yes,keelenche,yes,Emilio
2,18,0.8099999999999999,tree_15plus,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,20,1,tree_15plus,yes,keelenche,yes,Emilio
2,8,0.16,tree_05to09,yes,keelenche,yes,Emilio
2,9,0.20249999999999999,tree_05to09,yes,keelenche,yes,Emilio
2,16,0.64,tree_15plus,yes,keelenche,yes,Emilio
2,14,0.49,tree_10to14,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,3,0.0225,sapling,yes,keelenche,yes,Emilio
2,6,0.09,tree_05to09,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,8,0.16,tree_05to09,yes,keelenche,yes,Emilio
2,4,0.04,sapling,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,16,0.64,tree_15plus,yes,keelenche,yes,Emilio
2,19,0.9024999999999999,tree_15plus,yes,keelenche,yes,Emilio
2,10,0.25,tree_10to14,yes,keelenche,yes,Emilio
2,14,0.49,tree_10to14,yes,keelenche,yes,Emilio
2,7,0.1225,tree_05to09,yes,keelenche,yes,Emilio
2,16,0.64,tree_15plus,yes,keelenche,yes,Emilio
2,8,0.16,tree_05to09,yes,keelenche,yes,Emilio
3,14,0.49,tree_10to14,no,keelenche,yes,Emilio
3,11,0.3025,tree_10to14,no,keelenche,yes,Emilio
3,15,0.5625,tree_15plus,no,keelenche,yes,Emilio
3,13,0.4225,tree_10to14,no,keelenche,yes,Emilio
3,10,0.25,tree_10to14,no,keelenche,yes,Emilio
